Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,GST (%),Tax,Total,Gross Income,Payment,Rating,Date,Day of Week
INV00001,C,Chennai,Member,Male,Electronic accessories,58.01,2,18,20.88,116.02,136.9,Ewallet,5.9,11/4/2024,Monday
INV00002,C,Kolkata,Normal,Male,Food and beverages,31.87,2,5,3.19,63.74,66.93,Credit card,7.0,7/6/2025,Sunday
INV00003,C,Bangalore,Member,Male,Electronic accessories,95.46,9,18,154.65,859.14,1013.79,Cash,6.3,10/8/2024,Tuesday
INV00004,C,Ahmedabad,Normal,Male,Fashion accessories,53.94,2,12,12.95,107.88,120.83,Credit card,8.4,6/25/2025,Wednesday
INV00005,B,Kolkata,Normal,Female,Fashion accessories,50.8,9,12,54.86,457.2,512.06,Cash,8.5,4/3/2025,Thursday
INV00006,B,Bangalore,Member,Female,Home and lifestyle,77.24,4,18,55.61,308.96,364.57,Ewallet,7.9,4/1/2025,Tuesday
INV00007,C,Hyderabad,Member,Female,Electronic accessories,65.99,9,18,106.9,593.91,700.81,Credit card,4.8,8/2/2024,Friday
INV00008,B,Pune,Normal,Male,Food and beverages,63.16,5,5,15.79,315.8,331.59,Cash,5.6,7/14/2025,Monday
INV00009,A,Delhi,Member,Male,Food and beverages,42.89,1,5,2.14,42.89,45.03,Cash,6.6,11/6/2024,Wednesday
INV00010,A,Ahmedabad,Member,Male,Food and beverages,21.97,5,5,5.49,109.85,115.34,Cash,5.0,2/6/2025,Thursday
INV00011,B,Mumbai,Member,Female,Health and beauty,27.51,4,12,13.2,110.04,123.24,Cash,8.7,10/12/2024,Saturday
INV00012,B,Mumbai,Member,Female,Food and beverages,26.35,2,5,2.64,52.7,55.34,Credit card,6.8,8/10/2024,Saturday
INV00013,B,Bangalore,Member,Male,Food and beverages,56.52,1,5,2.83,56.52,59.35,Ewallet,4.0,1/22/2025,Wednesday
INV00014,B,Hyderabad,Member,Male,Home and lifestyle,85.8,8,18,123.55,686.4,809.95,Cash,4.4,12/27/2024,Friday
INV00015,C,Chennai,Member,Male,Home and lifestyle,31.45,7,18,39.63,220.15,259.78,Ewallet,7.7,10/17/2024,Thursday
INV00016,C,Kolkata,Normal,Male,Health and beauty,94.99,8,12,91.19,759.92,851.11,Credit card,9.4,9/4/2024,Wednesday
INV00017,B,Bangalore,Member,Female,Home and lifestyle,55.59,7,18,70.04,389.13,459.17,Cash,9.0,7/20/2025,Sunday
INV00018,B,Chennai,Member,Male,Electronic accessories,41.33,6,18,44.64,247.98,292.62,Credit card,6.6,10/28/2024,Monday
INV00019,B,Pune,Normal,Male,Fashion accessories,44.93,4,12,21.57,179.72,201.29,Credit card,8.9,7/28/2024,Sunday
INV00020,B,Hyderabad,Normal,Female,Food and beverages,42.63,2,5,4.26,85.26,89.52,Credit card,5.2,1/22/2025,Wednesday
INV00021,B,Ahmedabad,Member,Male,Home and lifestyle,24.1,3,18,13.01,72.3,85.31,Ewallet,9.7,1/12/2025,Sunday
INV00022,A,Kolkata,Normal,Male,Sports and travel,89.65,1,5,4.48,89.65,94.13,Credit card,6.9,4/26/2025,Saturday
INV00023,C,Pune,Member,Female,Fashion accessories,64.35,4,12,30.89,257.4,288.29,Credit card,8.4,3/16/2025,Sunday
INV00024,A,Kolkata,Normal,Female,Health and beauty,25.57,6,12,18.41,153.42,171.83,Cash,7.3,4/14/2025,Monday
INV00025,A,Pune,Normal,Male,Sports and travel,10.75,4,5,2.15,43.0,45.15,Ewallet,4.7,2/26/2025,Wednesday
INV00026,C,Delhi,Normal,Female,Food and beverages,42.51,3,5,6.38,127.53,133.91,Cash,6.4,3/13/2025,Thursday
INV00027,A,Chennai,Member,Male,Health and beauty,88.04,1,12,10.56,88.04,98.6,Credit card,9.4,11/16/2024,Saturday
INV00028,A,Ahmedabad,Normal,Male,Home and lifestyle,19.86,4,18,14.3,79.44,93.74,Ewallet,5.2,1/9/2025,Thursday
INV00029,B,Kolkata,Member,Male,Health and beauty,11.53,8,12,11.07,92.24,103.31,Credit card,10.0,2/22/2025,Saturday
